Keyword,Party,Neighbor,Similarity
equality,Democrat,racial_justice,0.8199803233146667
equality,Democrat,true_equality,0.7989467978477478
equality,Democrat,lgbtq_community,0.795022189617157
equality,Democrat,pursuit_of,0.7917842268943787
equality,Democrat,gender_equality,0.7860206961631775
equality,Democrat,recommit_ourselves,0.7833155989646912
equality,Democrat,equal_justice,0.7741386294364929
equality,Democrat,liberty,0.7697989344596863
equality,Democrat,her_legacy,0.7653441429138184
equality,Republican,religious_liberty,0.8727466464042664
equality,Republican,first_amendment,0.8712260723114014
equality,Republican,self,0.8614521622657776
equality,Republican,god-given,0.8597248792648315
equality,Republican,pursuit_of,0.8578760027885437
equality,Republican,inherent,0.8542250394821167
equality,Republican,unborn_children,0.8450998663902283
equality,Republican,human_life,0.8430390954017639
equality,Republican,sacred,0.8419727087020874
equality,Republican,individual_liberty,0.8412066102027893
environment,Democrat,ecosystem,0.8119301795959473
environment,Democrat,clean_air,0.798986554145813
environment,Democrat,chesapeake_bay,0.7805845737457275
environment,Democrat,outdoor_spaces,0.7771897315979004
environment,Democrat,natural,0.7771588563919067
environment,Democrat,our_environment,0.771968424320221
environment,Democrat,cleaner,0.7697156667709351
environment,Democrat,salmon,0.7588618397712708
environment,Democrat,crop,0.7440740466117859
environment,Democrat,maintaining,0.7381803393363953
environment,Republican,economic_growth,0.8305689692497253
environment,Republican,job_creation,0.8228147029876709
environment,Republican,create_jobs,0.8187313079833984
environment,Republican,energy_producers,0.8104197382926941
environment,Republican,global_competitiveness,0.8059312701225281
environment,Republican,water_system,0.7998461723327637
environment,Republican,biofuel,0.7941917777061462
environment,Republican,reliability,0.791999876499176
environment,Republican,marketplace,0.791999340057373
environment,Republican,while_also,0.7869110107421875
freedom,Democrat,sacred_right,0.7696423530578613
freedom,Democrat,fundamental_right,0.7494767308235168
freedom,Democrat,sacred,0.7462222576141357
freedom,Democrat,fundamental,0.7077837586402893
freedom,Democrat,liberty,0.6988624334335327
freedom,Democrat,democratic_republic,0.6985729336738586
freedom,Democrat,most_fundamental,0.6932910084724426
freedom,Democrat,ideal,0.6857307553291321
freedom,Democrat,bedrock_of,0.6845442056655884
freedom,Democrat,right,0.6844503879547119
freedom,Republican,liberty,0.8820722699165344
freedom,Republican,democracy,0.797443687915802
freedom,Republican,hong_kongers,0.7635200619697571
freedom,Republican,cuban_people,0.7586631178855896
freedom,Republican,america_stands,0.7445232272148132
freedom,Republican,communism,0.7381589412689209
freedom,Republican,pursuit_of,0.733272910118103
freedom,Republican,equality,0.7271624803543091
freedom,Republican,religious_liberty,0.7263314723968506
freedom,Republican,fundamental,0.7100160121917725
gas,Democrat,oil,0.833053708076477
gas,Democrat,methane_emissions,0.8145276308059692
gas,Democrat,leak,0.802221417427063
gas,Democrat,reliance_on,0.7951781749725342
gas,Democrat,emission,0.7937900424003601
gas,Democrat,plastic,0.7829192280769348
gas,Democrat,gas_drilling,0.7801977396011353
gas,Democrat,big_oil,0.7757244110107422
gas,Democrat,dependence_on,0.775284469127655
gas,Democrat,air_pollution,0.771375298500061
gas,Republican,grocery,0.8687760829925537
gas,Republican,natural_gas,0.8660516142845154
gas,Republican,energy_prices,0.8459884524345398
gas,Republican,gasoline,0.8320299386978149
gas,Republican,heating,0.8299724459648132
